gen,best_fit,avg_fit,diversity
113,35.288149716549405,22.293777176880127,298
114,35.288149716549405,23.056756851548716,296
115,35.288149716549405,22.556580141402613,299
116,35.288149716549405,22.51314631882074,299
117,35.288149716549405,22.076861481940558,296
118,35.288149716549405,22.507983092991108,300
119,35.288149716549405,23.099921139623316,297
120,35.288149716549405,22.373314756765712,296
121,35.288149716549405,22.62153864736265,300
122,35.288149716549405,22.841802434046368,298
123,35.288149716549405,22.7362757356658,298
124,35.288149716549405,22.45677700650231,295
125,35.288149716549405,22.983853353503164,296
126,35.288149716549405,23.115024515277845,298
127,35.288149716549405,23.0644138884734,298
128,35.288149716549405,22.782013356317417,296
129,35.288149716549405,23.25533337113055,296
130,35.288149716549405,22.707848613409137,299
131,35.288149716549405,23.08162240513948,298
132,35.288149716549405,22.682787318197636,296
133,35.288149716549405,22.768700105685596,297
134,35.288149716549405,22.57646576835567,297
135,35.288149716549405,22.13925315696569,298
136,35.288149716549405,21.980383198412948,297
137,35.288149716549405,22.40487330510025,293
138,35.288149716549405,23.02823086167878,299
139,35.288149716549405,22.41161395739211,297
140,35.288149716549405,22.825514290656688,299
141,35.288149716549405,22.754235498296918,295
142,35.288149716549405,22.31481965898337,295
143,35.288149716549405,22.450806089281475,297
144,35.288149716549405,22.615660680759515,297
145,35.57191076118744,22.84171096913316,295
146,35.57191076118744,22.995081208743283,299
147,35.57191076118744,22.16661298935797,294
148,35.57191076118744,22.85927665943571,298
149,35.57191076118744,22.731301181158706,300
150,35.57191076118744,22.347654278166967,299
151,35.57191076118744,22.541043270979763,298
152,35.57191076118744,22.716315991787965,297
153,35.57191076118744,22.81633039244555,296
154,35.57191076118744,22.46347220091352,296
155,35.57191076118744,22.80698869300477,295
156,35.57191076118744,22.3036733795944,298
157,35.57191076118744,22.020636375541898,299
158,35.57191076118744,22.24866811415873,300
159,35.57191076118744,22.675693766133637,298
160,35.57191076118744,22.592811498393107,296
161,35.57191076118744,21.59022963847676,293
162,35.57191076118744,21.79403888541401,293
163,35.57191076118744,21.91322315138203,295
164,35.57191076118744,22.49974132878241,296
165,35.57191076118744,22.852140243156295,297
166,35.57191076118744,22.369778037991747,296
167,35.57191076118744,22.327407301109783,299
168,35.57191076118744,21.91353040553002,296
169,35.57191076118744,22.60429843317236,298
170,35.57191076118744,22.574177106615736,298
171,35.57191076118744,22.615747780995086,298
172,35.57191076118744,22.095862346982475,300
173,35.57191076118744,21.69866186601878,299
174,35.57191076118744,22.19458872140856,298
175,35.57191076118744,23.15123320562517,298
176,35.57191076118744,22.896065733506408,299
177,35.57191076118744,22.51163675782541,300
178,35.57191076118744,21.76372164403588,298
179,35.57191076118744,21.687869124114567,299
180,35.57191076118744,22.194081690096752,298
181,35.57191076118744,22.24416384570925,297
182,35.57191076118744,22.152003456484078,297
183,35.57191076118744,22.216946018876513,297
184,35.57191076118744,22.53352883668223,296
185,35.57191076118744,22.66570881196992,298
186,35.57191076118744,22.99774921646107,298
187,35.57191076118744,22.656194654536332,296
188,35.57191076118744,22.395207831527358,295
189,35.57191076118744,22.483633173518868,298
190,35.57191076118744,22.37523641124784,293
191,35.57191076118744,23.10294980671685,295
192,35.57191076118744,22.822144705113814,298
193,35.57191076118744,22.33536062265056,299
194,35.57191076118744,22.80432695624719,300
195,35.57191076118744,21.899426738701408,298
196,35.57191076118744,21.670116948248555,295
197,35.57191076118744,22.641547133349487,298
198,35.57191076118744,23.01731870615225,298
199,35.57191076118744,22.839452899799056,295
200,35.57191076118744,21.86507060122417,294
201,35.57191076118744,21.884179844542825,299
202,35.57191076118744,22.272208451119496,297
203,35.57191076118744,22.704516330197308,299
204,35.57191076118744,22.32677439269247,299
205,35.57191076118744,21.93005335822458,298
206,35.57191076118744,22.381063180072886,299
207,35.57191076118744,21.945827883637104,297
208,35.57191076118744,22.26247254495153,297
209,35.57191076118744,22.218165984546115,298
210,35.57191076118744,21.61509470828471,295
211,35.70683696468819,22.728468948084195,299
212,35.70683696468819,22.910498828871813,300
213,35.70683696468819,22.53881377568355,297
214,35.70683696468819,22.859198784672753,298
215,35.70683696468819,21.658642331764586,298
216,35.70683696468819,22.178388699086852,298
217,35.70683696468819,22.240704298754768,297
218,35.70683696468819,22.460449595228795,297
219,35.70683696468819,22.179907712557412,298
220,35.70683696468819,22.251960655771914,297
221,35.70683696468819,22.144846012628197,297
222,35.70683696468819,22.45724936606008,298
223,35.70683696468819,23.25998971930652,296
224,35.70683696468819,23.37867519816961,299
225,35.70683696468819,22.53571771310024,297
226,35.70683696468819,22.34205041500777,296
227,35.70683696468819,22.320037073613477,294
228,35.70683696468819,22.696003191901887,299
229,35.70683696468819,22.337699845205993,300
230,35.70683696468819,22.07287629556513,298
231,35.70683696468819,22.292470134720784,299
232,35.70683696468819,22.535162890611407,295
233,35.70683696468819,22.99007785574603,299
234,35.70683696468819,22.862893557625192,298
235,35.70683696468819,22.447055424006784,299
236,35.70683696468819,22.501397668243396,298
237,35.70683696468819,21.72987448156365,297
238,35.70683696468819,21.981275912415253,296
239,35.70683696468819,22.79771006577084,299
240,35.70683696468819,23.224722410337883,298
241,35.70683696468819,23.09564052908407,297
242,35.70683696468819,23.424992169739113,297
243,35.70683696468819,23.08769077507032,298
244,35.70683696468819,22.807671666871567,296
245,35.70683696468819,22.95533486073483,296
246,35.70683696468819,22.540760816948726,297
247,35.70683696468819,22.355963602909735,297
248,35.70683696468819,23.016437104279767,297
249,35.70683696468819,22.71020320987422,297
250,35.70683696468819,22.956963421750103,295
251,35.70683696468819,22.444682770891212,292
252,35.70683696468819,22.765883289832978,292
253,35.70683696468819,22.89482938286503,294
254,35.70683696468819,23.069001532220614,297
255,35.70683696468819,22.361430988495048,293
256,35.70683696468819,22.174128501440762,291
257,35.70683696468819,23.220292666018512,298
258,35.70683696468819,22.920274839328773,296
259,35.70683696468819,23.069758693391286,296
260,35.70683696468819,22.85062753027079,297
261,35.70683696468819,22.42993994521588,296
262,35.70683696468819,22.662570093880323,296
263,35.70683696468819,22.695509813381104,294
264,35.70683696468819,22.328855517306984,296
265,35.70683696468819,23.04401285826137,295
266,35.70683696468819,22.623549879574526,297
267,35.70683696468819,22.841283866856624,296
268,35.70683696468819,23.218908674604524,298
269,35.70683696468819,23.528756665825863,298
270,35.70683696468819,23.197767557857574,293
271,35.70683696468819,23.026006033731,299
272,35.70683696468819,22.356543140196464,297
273,35.70683696468819,22.61391519443887,294
