generation,best_fitness,avg_fitness,diversity
108,2343600,2051022.2866666666,297
109,2343600,2065609.0166666666,295
110,2344905,2079073.3633333333,300
111,2344905,2074000.9333333333,299
112,2344905,2069664.8783333334,299
113,2344905,2075648.6916666667,298
114,2344905,2078698.7033333334,295
115,2344905,2084940.0783333334,296
116,2344905,2076438.1633333333,299
117,2344905,2078663.5316666667,295
118,2344905,2073714.9533333334,295
119,2344905,2086624.785,294
120,2344905,2061842.0166666666,296
121,2344905,2060508.39,294
122,2344905,2087466.1133333333,296
123,2344905,2065398.8133333332,299
124,2344905,2077323.0883333334,294
125,2344905,2073902.1766666668,295
126,2344905,2085160.3366666667,299
127,2344905,2070577.685,298
128,2344905,2061042.5666666667,298
129,2347710,2073839.5183333333,296
130,2347710,2073379.775,297
131,2354447,2078872.1933333334,294
132,2354447,2082934.3883333334,296
133,2354447,2084937.7733333334,294
134,2354447,2098768.591666667,297
135,2355752,2098890.78,296
136,2355752,2080914.2216666667,296
137,2355752,2086310.0316666667,294
138,2355752,2079290.0616666668,296
139,2407222,2088313.525,296
140,2407222,2111424.4783333335,296
141,2487116,2136797.408333333,292
142,2487116,2169213.9716666667,298
143,2487116,2216247.9,294
144,2487116,2191239.31,296
145,2487116,2182781.1216666666,296
146,2487116,2194441.655,296
147,2487116,2191301.7516666665,292
148,2487116,2200124.3566666665,297
149,2487116,2191289.875,298
150,2487116,2198754.1983333332,299
151,2487116,2203151.388333333,293
152,2487116,2211226.1033333335,294
153,2487116,2206258.03,299
154,2487116,2209470.4566666665,294
155,2487116,2183625.255,298
156,2487116,2207027.006666667,292
157,2487116,2210423.5633333335,296
158,2487116,2221382.7733333334,293
159,2487116,2208821.5416666665,291
160,2487116,2214054.2133333334,296
161,2487116,2188450.8433333333,296
162,2495617,2199690.99,294
163,2495617,2209736.445,295
164,2495617,2210207.5683333334,298
165,2495617,2211984.13,298
166,2495617,2212332.1983333332,297
167,2495617,2216275.3716666666,295
168,2495617,2196066.6616666666,299
169,2495617,2205534.4,296
170,2495617,2224295.046666667,296
171,2495617,2209531.465,296
172,2495617,2221835.816666667,296
173,2495617,2211637.533333333,296
174,2495617,2203119.7016666667,296
175,2495617,2206167.495,297
176,2495617,2201638.7316666665,295
177,2495617,2215786.485,297
178,2495617,2211115.1366666667,294
179,2495617,2211779.19,297
180,2495617,2201934.4183333335,296
181,2495617,2207731.8316666665,293
182,2495617,2225378.57,291
183,2495617,2210433.4766666666,289
184,2495617,2208889.9716666667,297
185,2495617,2209357.735,289
186,2495617,2208262.665,297
187,2495617,2220048.0766666667,294
188,2495617,2200174.595,298
189,2495617,2209526.2866666666,295
190,2495617,2215090.435,296
191,2495617,2203958.1666666665,297
192,2495617,2205359.9616666664,296
193,2495617,2215703.9366666665,296
194,2495617,2198601.015,296
195,2495617,2214037.1033333335,297
196,2495617,2197062.535,298
197,2495617,2199132.2716666665,296
198,2495617,2201810.615,295
199,2495617,2212805.605,296
200,2495617,2213977.6666666665,294
201,2495617,2216188.828333333,299
202,2495617,2209112.0283333333,297
203,2495617,2209349.63,298
204,2495617,2220672.8466666667,294
205,2495617,2228236.2583333333,296
206,2495617,2220585.0183333335,296
207,2495617,2231159.5883333334,290
208,2495617,2205478.5316666667,297
209,2495617,2210623.803333333,296
210,2495617,2206139.5166666666,297
211,2495617,2211813.625,294
212,2495617,2222436.4683333333,294
213,2495617,2217789.828333333,295
214,2495617,2229668.99,297
215,2495617,2216007.1133333333,296
216,2495617,2220162.5316666667,294
217,2495617,2209756.345,295
218,2495617,2215924.725,296
219,2495617,2225232.885,295
220,2495617,2208943.9366666665,298
221,2495617,2219529.125,295
222,2495617,2221081.055,293
223,2495617,2219011.3866666667,295
224,2495617,2216965.58,295
225,2495617,2223704.06,296
226,2495617,2213907.3466666667,297
227,2495617,2223141.1033333335,292
228,2495617,2216464.5616666665,296
229,2495617,2213560.5316666667,298
230,2495617,2223145.4033333333,294
231,2495617,2224357.196666667,294
232,2495617,2216891.8716666666,296
233,2495617,2223295.151666667,291
234,2495617,2235726.683333333,292
235,2495617,2221348.005,294
236,2495617,2232460.5383333336,295
237,2495617,2222663.0433333335,293
238,2495617,2224717.4583333335,295
239,2495617,2228564.908333333,295
240,2495617,2227452.7383333333,295
241,2495617,2222479.7516666665,295
242,2495617,2227200.925,291
243,2495617,2229555.36,293
244,2495617,2227527.195,297
245,2495617,2225147.4366666665,296
246,2495617,2230826.57,292
247,2495617,2217835.29,297
248,2495617,2227495.348333333,294
249,2495617,2237573.4483333332,297
250,2495617,2220571.7183333333,297
251,2495617,2210909.756666667,299
252,2495617,2221201.395,292
253,2495617,2218268.2583333333,295
