generation,best_fitness,avg_fitness,diversity
308,3253166.0,2945229.2216666667,294
309,3253166.0,2940204.4033333333,297
310,3253166.0,2930079.8366666664,298
311,3253166.0,2940648.6,299
312,3253166.0,2939017.295,295
313,3253166.0,2936172.066666667,298
314,3253166.0,2939065.48,298
315,3253166.0,2938848.145,299
316,3253166.0,2964169.7516666665,295
317,3253166.0,2941108.14,297
318,3253166.0,2951350.235,294
319,3253166.0,2912549.4066666667,298
320,3253166.0,2941996.0683333334,296
321,3253166.0,2947129.7916666665,298
322,3253166.0,2935116.9266666668,298
323,3253166.0,2950027.546666667,297
324,3253166.0,2943868.285,297
325,3253166.0,2930749.7666666666,298
326,3253166.0,2939223.9433333334,297
327,3253166.0,2930384.1766666668,297
328,3253166.0,2947735.691666667,298
329,3253166.0,2929580.848333333,299
330,3253166.0,2944863.2266666666,296
331,3253166.0,2943043.0866666664,299
332,3253166.0,2936207.7216666667,299
333,3253166.0,2928580.8666666667,297
334,3253166.0,2924128.816666667,298
335,3253166.0,2928465.263333333,296
336,3253166.0,2944284.2583333333,295
337,3253166.0,2943398.8,299
338,3253166.0,2931920.16,299
339,3253166.0,2944751.1166666667,298
340,3253166.0,2944232.1666666665,293
341,3253166.0,2946679.841666667,293
342,3253166.0,2951824.078333333,299
343,3253166.0,2945659.9266666668,296
344,3253166.0,2935874.828333333,298
345,3253166.0,2934304.7483333335,299
346,3253166.0,2934675.1766666668,299
347,3253166.0,2935952.8233333332,298
348,3253166.0,2947859.655,299
349,3253166.0,2954199.59,292
350,3253166.0,2927349.7283333335,299
351,3253166.0,2950162.8983333334,297
352,3253166.0,2952025.19,294
353,3253166.0,2941739.5816666665,299
354,3253166.0,2940438.7133333334,296
355,3253166.0,2935144.5233333334,298
356,3253166.0,2921971.0416666665,297
357,3253166.0,2939467.605,298
358,3253166.0,2948865.88,294
359,3253166.0,2953304.3266666667,294
360,3253166.0,2945371.51,293
361,3253166.0,2933954.785,298
362,3253166.0,2943986.3333333335,295
363,3253166.0,2944683.598333333,298
364,3253166.0,2940595.868333333,298
365,3253166.0,2938205.2883333336,297
366,3253166.0,2939008.6983333332,298
367,3253166.0,2924363.0416666665,296
368,3253166.0,2947987.5,294
369,3253166.0,2947489.513333333,300
370,3253166.0,2959551.783333333,299
371,3253166.0,2950474.3366666664,295
372,3253166.0,2942455.285,298
373,3253166.0,2945558.2216666667,299
374,3253166.0,2934704.3866666667,297
375,3253166.0,2934819.36,297
376,3253166.0,2916767.645,297
377,3253166.0,2935731.005,296
378,3253166.0,2956724.5816666665,297
379,3253166.0,2935933.605,296
380,3253166.0,2940358.441666667,298
381,3253166.0,2941805.4783333335,296
382,3253166.0,2938935.441666667,294
383,3253166.0,2937064.8183333334,298
384,3253166.0,2937419.618333333,298
385,3253166.0,2947406.7416666667,300
386,3253166.0,2932497.615,299
387,3253166.0,2935569.118333333,298
388,3253166.0,2949410.5866666664,296
389,3253166.0,2941489.6266666665,299
390,3253166.0,2938933.7666666666,298
391,3253166.0,2949267.505,299
392,3253166.0,2946683.0633333335,292
393,3253166.0,2953381.7916666665,295
394,3253166.0,2941551.723333333,292
395,3253166.0,2943322.37,298
396,3253166.0,2954544.723333333,294
397,3253166.0,2969606.1,295
398,3253166.0,2953160.605,298
399,3253166.0,2953297.6616666666,294
400,3253166.0,2937190.243333333,299
401,3253166.0,2956278.8733333335,295
402,3253166.0,2947308.4183333335,298
403,3253166.0,2950623.1483333334,298
404,3253166.0,2937904.5033333334,298
405,3253166.0,2948049.3466666667,299
406,3253166.0,2949845.485,298
407,3253166.0,2937651.0966666667,295
408,3253166.0,2945076.835,294
409,3253166.0,2949826.14,297
410,3253166.0,2944346.195,299
411,3253166.0,2937772.966666667,297
412,3253166.0,2945327.408333333,298
413,3253166.0,2945175.3766666665,298
414,3253166.0,2951292.64,295
415,3253166.0,2946224.79,299
416,3253166.0,2948083.9716666667,295
417,3253166.0,2931489.7666666666,298
418,3253166.0,2942415.61,300
419,3253166.0,2958145.08,297
420,3253166.0,2953985.4883333333,297
421,3253166.0,2943172.2933333335,298
422,3253166.0,2947618.928333333,297
423,3253166.0,2922475.5683333334,299
424,3253166.0,2946847.1766666668,298
425,3253166.0,2939344.6533333333,298
426,3253166.0,2955458.4383333335,300
427,3253166.0,2955056.3066666666,295
428,3253166.0,2942505.131666667,300
429,3253166.0,2948005.0816666665,293
430,3253166.0,2936451.8966666665,297
431,3253166.0,2938283.3766666665,299
432,3253166.0,2940782.8133333335,298
433,3253166.0,2940940.34,299
434,3253166.0,2937669.625,299
435,3253166.0,2949818.1433333335,295
436,3253166.0,2938393.0116666667,297
437,3253166.0,2928975.9,299
